DateKey,Date,Year,Month,MonthName,Quarter
20230101,2023-01-01,2023,1,January,1
20230102,2023-01-02,2023,1,January,1
20230103,2023-01-03,2023,1,January,1
20230104,2023-01-04,2023,1,January,1
20230105,2023-01-05,2023,1,January,1
20230106,2023-01-06,2023,1,January,1
20230107,2023-01-07,2023,1,January,1
20230108,2023-01-08,2023,1,January,1
20230109,2023-01-09,2023,1,January,1
20230110,2023-01-10,2023,1,January,1
20230111,2023-01-11,2023,1,January,1
20230112,2023-01-12,2023,1,January,1
20230113,2023-01-13,2023,1,January,1
20230114,2023-01-14,2023,1,January,1
20230115,2023-01-15,2023,1,January,1
20230116,2023-01-16,2023,1,January,1
20230117,2023-01-17,2023,1,January,1
20230118,2023-01-18,2023,1,January,1
20230119,2023-01-19,2023,1,January,1
20230120,2023-01-20,2023,1,January,1
20230121,2023-01-21,2023,1,January,1
20230122,2023-01-22,2023,1,January,1
20230123,2023-01-23,2023,1,January,1
20230124,2023-01-24,2023,1,January,1
20230125,2023-01-25,2023,1,January,1
20230126,2023-01-26,2023,1,January,1
20230127,2023-01-27,2023,1,January,1
20230128,2023-01-28,2023,1,January,1
20230129,2023-01-29,2023,1,January,1
20230130,2023-01-30,2023,1,January,1
20230131,2023-01-31,2023,1,January,1
20230201,2023-02-01,2023,2,February,1
20230202,2023-02-02,2023,2,February,1
20230203,2023-02-03,2023,2,February,1
20230204,2023-02-04,2023,2,February,1
20230205,2023-02-05,2023,2,February,1
20230206,2023-02-06,2023,2,February,1
20230207,2023-02-07,2023,2,February,1
20230208,2023-02-08,2023,2,February,1
20230209,2023-02-09,2023,2,February,1
20230210,2023-02-10,2023,2,February,1
20230211,2023-02-11,2023,2,February,1
20230212,2023-02-12,2023,2,February,1
20230213,2023-02-13,2023,2,February,1
20230214,2023-02-14,2023,2,February,1
20230215,2023-02-15,2023,2,February,1
20230216,2023-02-16,2023,2,February,1
20230217,2023-02-17,2023,2,February,1
20230218,2023-02-18,2023,2,February,1
20230219,2023-02-19,2023,2,February,1
20230220,2023-02-20,2023,2,February,1
20230221,2023-02-21,2023,2,February,1
20230222,2023-02-22,2023,2,February,1
20230223,2023-02-23,2023,2,February,1
20230224,2023-02-24,2023,2,February,1
20230225,2023-02-25,2023,2,February,1
20230226,2023-02-26,2023,2,February,1
20230227,2023-02-27,2023,2,February,1
20230228,2023-02-28,2023,2,February,1
20230301,2023-03-01,2023,3,March,1
20230302,2023-03-02,2023,3,March,1
20230303,2023-03-03,2023,3,March,1
20230304,2023-03-04,2023,3,March,1
20230305,2023-03-05,2023,3,March,1
20230306,2023-03-06,2023,3,March,1
20230307,2023-03-07,2023,3,March,1
20230308,2023-03-08,2023,3,March,1
20230309,2023-03-09,2023,3,March,1
20230310,2023-03-10,2023,3,March,1
