VehicleKey,VehicleID,Make,Model,Year,FuelType,Transmission,Engine,NumberOfDoors,Drivetrain,MaxPower,Price
1,BMW_1 Series M_2011,BMW,1 Series M,2011,premium unleaded (required),MANUAL,6-cylinder,2,rear wheel drive,335,46135
2,BMW_1 Series_2011,BMW,1 Series,2011,premium unleaded (required),MANUAL,6-cylinder,2,rear wheel drive,300,40650
6,BMW_1 Series_2012,BMW,1 Series,2012,premium unleaded (required),MANUAL,6-cylinder,2,rear wheel drive,230,31200
10,BMW_1 Series_2013,BMW,1 Series,2013,premium unleaded (required),MANUAL,6-cylinder,2,rear wheel drive,230,37200
18,Audi_100_1992,Audi,100,1992,regular unleaded,MANUAL,6-cylinder,4,front wheel drive,172,2000
23,Audi_100_1993,Audi,100,1993,regular unleaded,MANUAL,6-cylinder,4,front wheel drive,172,2000
28,Audi_100_1994,Audi,100,1994,regular unleaded,AUTOMATIC,6-cylinder,4,front wheel drive,172,2000
33,FIAT_124 Spider_2017,FIAT,124 Spider,2017,premium unleaded (recommended),MANUAL,4-cylinder,2,rear wheel drive,160,27495
36,Mercedes-Benz_190-Class_1991,Mercedes-Benz,190-Class,1991,regular unleaded,MANUAL,4-cylinder,4,rear wheel drive,130,2000
38,Mercedes-Benz_190-Class_1992,Mercedes-Benz,190-Class,1992,regular unleaded,MANUAL,6-cylinder,4,rear wheel drive,158,2000
40,Mercedes-Benz_190-Class_1993,Mercedes-Benz,190-Class,1993,regular unleaded,MANUAL,4-cylinder,4,rear wheel drive,130,2000
42,BMW_2 Series_2016,BMW,2 Series,2016,premium unleaded (required),AUTOMATIC,4-cylinder,2,rear wheel drive,240,32850
51,BMW_2 Series_2017,BMW,2 Series,2017,premium unleaded (recommended),AUTOMATIC,6-cylinder,2,all wheel drive,335,46450
59,Audi_200_1990,Audi,200,1990,regular unleaded,AUTOMATIC,5-cylinder,4,front wheel drive,162,2000
62,Audi_200_1991,Audi,200,1991,regular unleaded,MANUAL,5-cylinder,4,all wheel drive,217,2000
65,Chrysler_200_2015,Chrysler,200,2015,flex-fuel (unleaded/E85),AUTOMATIC,4-cylinder,4,front wheel drive,184,25170
71,Chrysler_200_2016,Chrysler,200,2016,flex-fuel (unleaded/E85),AUTOMATIC,4-cylinder,4,front wheel drive,184,21995
79,Chrysler_200_2017,Chrysler,200,2017,flex-fuel (unleaded/E85),AUTOMATIC,6-cylinder,4,all wheel drive,295,29905
88,Nissan_200SX_1996,Nissan,200SX,1996,regular unleaded,MANUAL,4-cylinder,2,front wheel drive,115,2000
91,Nissan_200SX_1997,Nissan,200SX,1997,regular unleaded,MANUAL,4-cylinder,2,front wheel drive,140,2000
94,Nissan_200SX_1998,Nissan,200SX,1998,regular unleaded,MANUAL,4-cylinder,2,front wheel drive,115,2000
97,Nissan_240SX_1996,Nissan,240SX,1996,regular unleaded,MANUAL,4-cylinder,2,rear wheel drive,155,3713
99,Nissan_240SX_1997,Nissan,240SX,1997,regular unleaded,MANUAL,4-cylinder,2,rear wheel drive,155,3910
102,Nissan_240SX_1998,Nissan,240SX,1998,regular unleaded,MANUAL,4-cylinder,2,rear wheel drive,155,4299
105,Volvo_240_1991,Volvo,240,1991,regular unleaded,MANUAL,4-cylinder,4,rear wheel drive,114,2000
108,Volvo_240_1992,Volvo,240,1992,regular unleaded,MANUAL,4-cylinder,4,rear wheel drive,114,2000
